,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Chiknayakanhalli,100,IN,1563888215,87,13.42,76.62,69.7,9.04
378,Bilibino,100,RU,1563882733,91,68.06,166.44,36.22,5.93
379,Sao Paulo de Olivenca,97,BR,1563921622,90,-3.38,-68.87,74.74,2.51
380,Odessa,90,US,1563846786,93,31.85,-102.37,69.8,10.29
381,Lodwar,100,KE,1563897121,56,3.12,35.6,79.42,11.27
382,Carolina,40,PR,1563922910,74,18.38,-65.96,82.4,6.93
383,Camabatela,90,AO,1563900977,94,-8.19,15.37,60.88,1.79
384,Rantepao,28,ID,1563876351,50,-2.97,119.9,72.94,4.9
385,Guarapari,75,BR,1563913221,94,-20.67,-40.5,68.0,1.12
386,Male,100,UA,1563903870,97,50.74,33.7,59.08,5.88
387,Rawson,0,AR,1563916274,62,-43.3,-65.11,38.92,15.41
388,Cap Malheureux,75,MU,1563889737,68,-19.98,57.61,71.6,11.41
389,Chunskiy,93,RU,1563889680,50,56.08,99.63,77.44,3.13
390,Banda Aceh,50,ID,1563883006,67,5.56,95.32,83.2,5.93
391,Port Shepstone,0,ZA,1563895097,15,-30.74,30.45,63.22,10.98
392,Santiago del Estero,100,AR,1563918175,24,-27.8,-64.26,55.84,7.58
393,Dukat,0,AL,1563905116,58,40.25,19.57,78.01,2.91
394,Vanimo,100,PG,1563871241,69,-2.67,141.3,83.2,6.93
395,Olot,0,ES,1563909541,88,42.18,2.49,75.99,3.36
396,Port-Gentil,83,GA,1563903219,85,-0.72,8.78,75.46,17.58
397,Saint-Pierre,0,FR,1563910494,82,48.95,4.24,60.8,6.93
398,Port Victoria,73,AU,1563868928,75,-34.5,137.49,57.28,23.29
399,La Cruz,98,MX,1563846929,80,23.92,-106.89,82.99,1.01
400,Avera,1,US,1563928568,61,33.19,-82.53,82.4,11.41
401,Talaya,20,RU,1563893111,72,55.79,84.89,63.0,6.71
402,Kolno,40,PL,1563907434,93,53.41,21.93,55.4,3.36
403,Jijiang,40,CN,1563879401,56,29.8,120.61,95.0,8.95
404,Pinellas Park,1,US,1563927943,94,27.84,-82.7,79.0,2.08
405,Kalmunai,79,LK,1563886413,57,7.42,81.82,84.1,6.06
406,Ostersund,40,SE,1563913526,93,63.18,14.64,57.2,5.82
407,Burnie,97,AU,1563865966,71,-41.05,145.91,48.99,7.0
408,Ulladulla,0,AU,1563865695,22,-35.36,150.48,69.8,17.22
409,Riachao das Neves,67,BR,1563915126,51,-11.75,-44.91,69.7,5.44
410,Hay River,40,CA,1563857093,77,60.82,-115.79,68.0,8.05
411,Save,100,BJ,1563905507,94,8.04,2.49,72.04,5.91
412,Tyukhtet,0,RU,1563892321,62,56.54,89.31,62.68,4.0
413,Nieuw Amsterdam,20,SR,1563919129,94,5.88,-55.08,77.0,1.12
414,Nisia Floresta,75,BR,1563913305,69,-6.09,-35.21,78.8,10.29
415,Irricana,75,CA,1563853019,56,51.32,-113.6,72.0,6.93
416,Mehamn,0,NO,0,77,71.03,27.85,60.8,2.24
417,Hovd,75,NO,1563914938,93,63.83,10.7,62.01,6.93
418,Prince Rupert,40,CA,1563857906,68,54.32,-130.32,66.2,3.36
419,Qasigiannguit,0,GL,1563936867,70,68.82,-51.19,44.6,7.25
420,Angoche,59,MZ,1563894349,85,-16.23,39.91,64.48,6.46
421,Talakan,100,RU,1563880596,88,50.29,130.28,69.52,5.28
422,Dzhubga,0,RU,1563901249,81,44.32,38.7,64.3,8.88
423,Svarstad,0,NO,1563912521,100,59.4,9.97,62.01,4.7
424,Basoko,100,CD,1563899832,87,1.23,23.61,71.5,1.03
425,Airai,0,TL,1563874498,34,-8.93,125.41,85.0,1.59
426,Zigong,98,CN,1563883142,92,29.34,104.78,73.66,3.85
427,Paris,0,FR,1563910926,68,48.86,2.35,71.6,4.7
428,Roald,75,NO,1563915169,100,62.58,6.12,60.01,9.17
429,Kawalu,55,ID,1563878766,67,-7.38,108.21,74.74,5.82
430,Uhlove,0,UA,1563902569,68,44.82,33.6,74.02,3.56
431,Kharagauli,90,GE,1563899747,100,42.01,43.2,69.8,4.7
432,Chuy,100,UY,1563914882,89,-33.69,-53.46,54.04,13.85
433,Yabelo,86,ET,1563896681,87,4.89,38.09,58.72,0.56
434,Bang Mun Nak,97,TH,1563882764,65,16.03,100.38,88.24,2.15
435,Esil,90,KZ,1563896352,69,51.96,66.41,68.26,10.36
436,Rawlins,1,US,1563849443,55,41.79,-107.24,64.4,11.41
437,Teguise,92,ES,1563911500,77,29.06,-13.56,69.8,10.29
438,Beyneu,0,KZ,1563897490,39,45.32,55.19,81.76,20.92
439,High Level,90,CA,1563856306,64,58.52,-117.13,71.6,3.36
440,Porvoo,0,FI,1563909246,88,60.4,25.66,64.99,5.82
441,Independencia,56,MX,1563844157,93,20.06,-97.05,67.36,2.73
442,Jacareacanga,75,BR,1563918706,57,-6.22,-57.76,80.14,1.79
443,Tecolutla,99,MX,1563844285,94,17.31,-98.74,61.42,3.36
444,Vostok,100,RU,1563878381,95,46.45,135.83,67.18,2.55
445,Kidal,87,ML,1563906750,36,18.44,1.41,87.34,11.01
446,Tromso,75,NO,0,87,69.65,18.96,57.99,16.11
447,Poronaysk,96,RU,1563877258,71,49.22,143.1,76.0,9.4
448,Acajutla,100,SV,1563841785,74,13.59,-89.83,85.0,5.37
449,Okhotsk,2,RU,1563880562,52,59.36,143.24,60.34,11.81
450,Baturaja,22,ID,1563880025,60,-4.12,104.17,81.94,5.08
451,Teahupoo,40,PF,1563853190,74,-17.83,-149.27,78.8,16.11
452,Chiredzi,0,ZW,1563895858,72,-21.05,31.67,47.74,2.39
453,Ler,0,NO,1563914580,59,63.2,10.3,66.2,4.7
454,Waingapu,5,ID,1563875669,45,-9.65,120.26,81.58,17.78
455,Brae,100,GB,1563915718,93,60.4,-1.35,60.8,17.22
456,Road Town,1,VG,1563922592,78,18.42,-64.62,82.4,10.29
457,Aginskoye,100,RU,1563884582,78,51.11,114.54,64.99,5.35
458,Saint George,20,GR,1563904322,78,39.45,22.34,77.0,4.7
459,Mackenzie,1,CA,1563856510,47,55.34,-123.09,75.2,3.36
460,Honiara,40,SB,1563866160,62,-9.43,159.96,89.6,8.05
461,Maragogi,1,BR,1563913047,94,-9.01,-35.22,69.34,4.36
462,Verkhnevilyuysk,0,RU,1563888405,30,63.45,120.31,73.84,4.52
463,Iki-Burul,5,RU,1563900118,50,45.82,44.65,75.2,4.47
464,Zaporizhzhya,40,UA,1563902816,77,47.82,35.18,69.8,7.31
465,Lasa,0,CY,1563901201,64,34.92,32.53,75.2,8.05
466,Ahmadnagar,0,IN,1563889217,78,19.09,74.75,78.7,2.24
467,Timbiqui,100,CO,1563837875,84,2.77,-77.67,79.24,16.13
468,Miranda,65,BR,1563917076,57,-20.24,-56.38,71.86,1.25
469,Sao Joao da Barra,2,BR,1563913256,96,-21.64,-41.05,63.94,1.68
470,Bathsheba,40,BB,1563920865,78,13.22,-59.52,82.4,23.04
471,Ban Phai,75,TH,1563882315,70,16.55,102.46,87.8,5.82
472,Totoral,27,PE,1563835362,97,-13.66,-73.35,45.76,1.81
473,Inhambane,0,MZ,1563894678,88,-23.87,35.38,52.6,6.67
474,Rocha,100,UY,1563914992,83,-34.48,-54.34,49.9,5.84
475,Talnakh,75,RU,0,87,69.49,88.39,55.4,20.13
476,Uruacu,99,BR,1563915886,52,-14.52,-49.14,71.14,8.23
477,Arkadak,0,RU,1563901842,73,51.94,43.49,61.96,4.0
478,Rach Gia,75,VN,1563881068,75,10.02,105.08,89.6,9.17
479,Bambous Virieux,75,MU,1563889666,68,-20.34,57.76,71.6,11.41
480,Vallenar,0,CL,1563919648,83,-28.58,-70.76,44.68,2.13
481,Luba,0,PH,1563878014,67,17.32,120.7,86.08,4.9
482,Korcula,20,HR,1563906167,60,42.96,17.14,71.6,4.7
483,Hobyo,79,SO,1563894216,67,5.35,48.53,75.46,22.17
484,Campobello di Mazara,0,IT,1563906343,78,37.64,12.74,80.01,1.12
485,America Dourada,0,BR,1563914319,83,-11.46,-41.44,61.24,9.46
486,Toamasina,20,MG,1563891890,72,-18.17,49.38,62.6,11.41
487,Saint Anthony,1,US,1563850905,53,43.97,-111.68,73.99,9.17
488,Gat,75,SN,1563910691,83,14.69,-16.54,78.8,3.36
489,Buala,90,SB,1563866364,85,-8.15,159.59,79.6,15.68
490,Lebu,75,ET,1563896894,87,8.96,38.73,55.4,6.93
491,Mikhaylovka,100,RU,1563887793,97,52.96,103.29,60.52,5.12
492,Tutoia,13,BR,1563915293,92,-2.76,-42.27,72.94,2.28
493,Port Moresby,90,PG,1563869229,78,-9.47,147.16,82.4,11.41
494,Tignere,67,CM,1563903008,96,7.37,12.65,64.12,0.69
495,Lincoln,0,GB,1563912768,88,53.23,-0.54,62.6,4.7
496,Bonnyville,20,CA,1563853195,57,54.27,-110.74,77.0,4.7
497,Morant Bay,20,JM,1563838983,61,17.88,-76.41,82.4,6.93
498,Dunedin,71,NZ,1563859227,82,-45.87,170.5,51.01,13.0
499,Tepla,0,IN,1563889938,50,30.31,76.95,93.1,3.24
500,Port Hardy,40,CA,1563856169,68,50.7,-127.42,64.4,13.87
501,Galle,100,GN,1563909369,98,10.08,-12.83,71.14,2.95
502,Victor Harbor,75,AU,1563868518,72,-35.55,138.62,60.01,23.04
503,Hundested,15,DK,1563910684,93,55.97,11.85,63.0,10.29
504,Perry,1,US,1563928428,94,30.12,-83.58,81.0,10.33
505,Altay,74,CN,1563890119,59,47.83,88.13,63.04,5.41
506,Bandarbeyla,97,SO,1563894043,47,9.49,50.81,78.7,27.11
507,Yarada,20,IN,1563887028,74,17.65,83.27,86.0,2.24
508,Namibe,56,AO,1563901111,87,-15.19,12.15,63.58,17.05
509,Dzhebariki-Khaya,0,RU,1563883874,28,62.22,135.8,71.5,7.72
510,Prainha,0,BR,1563918067,81,-1.8,-53.48,75.1,3.02
511,Ranong,20,TH,1563882613,70,9.96,98.62,87.8,5.82
512,Oranjemund,59,ZA,1563898718,91,-28.55,16.43,55.48,22.12
513,Borborema,100,BR,1563915183,66,-21.62,-49.07,67.0,5.75
514,Jiayuguan,23,CN,1563886155,30,39.77,98.29,75.82,19.37
515,Havre-Saint-Pierre,40,CA,1563927072,87,50.23,-63.6,51.8,5.82
516,Marsh Harbour,68,BS,1563926440,78,26.54,-77.06,83.92,18.9
517,Coquimbo,0,CL,1563919630,70,-29.95,-71.34,48.2,3.36
518,San Vicente,75,EC,1563838234,83,-0.59,-80.41,73.4,9.17
519,Capim Grosso,39,BR,1563913983,98,-11.38,-40.01,61.24,3.15
520,Amahai,73,ID,1563874137,78,-3.31,129.0,76.54,13.76
521,College,1,US,1563867528,34,64.86,-147.8,81.0,3.36
522,Brownsville,1,US,1563844895,88,25.91,-97.49,84.0,5.82
523,Tagusao,76,PH,1563877937,70,9.19,117.81,83.56,5.28
524,Toba,40,JP,1563876117,74,34.47,136.83,96.01,4.7
525,Lukovetskiy,20,RU,1563907819,66,64.29,41.92,55.4,4.47
526,Campina Verde,87,BR,1563915491,65,-19.54,-49.49,66.82,6.38
527,Palmerston,0,AU,1563872835,19,-12.49,130.99,91.0,17.22
528,General Roca,0,AR,1563917542,46,-39.03,-67.58,32.0,1.12
529,North Bend,90,US,1563853808,77,43.41,-124.22,64.99,9.17
530,Severo-Yeniseyskiy,80,RU,1563893084,75,60.37,93.04,64.12,7.18
531,Eureka,1,US,1563853331,87,40.8,-124.16,62.01,5.82
